,symbol_string,parameters,field_shape,cost,status,tileset,comoving,tile_shape
0,01,"(18.016624921122904, 19.864394110471803, 0)","(32, 32)",2.1291464029171107e-10,-1,extra_space_padded,False,"(1, 2)"
1,02,"(17.29262014961962, 24.05298151762567, 0)","(32, 32)",9.397760699801187e-15,-1,extra_space_padded,False,"(1, 2)"
2,12,"(26.208602490024543, 32.477868835849044, 0)","(32, 32)",4.7664498656044686e-14,-1,extra_space_padded,False,"(1, 2)"
3,001,"(16.905023044855984, 25.640183030979728, 0)","(32, 32)",4.7133941388855146e-07,-1,extra_space_padded,False,"(1, 3)"
4,002,"(18.52735263940339, 29.46194469183076, 0)","(32, 32)",1.3619347544962455e-07,-1,extra_space_padded,False,"(1, 3)"
5,011,"(19.608103168925982, 34.18715868630245, 0)","(32, 32)",8.427127032859354e-06,0,extra_space_padded,False,"(1, 3)"
6,012,"(20.58415489400622, 38.92770131699232, 0)","(32, 32)",3.592252243558257e-11,-1,extra_space_padded,False,"(1, 3)"
7,021,"(20.434367404062105, 39.164188732982865, 0)","(32, 32)",3.575725614746852e-07,-1,extra_space_padded,False,"(1, 3)"
8,022,"(18.71752903420654, 39.01336423887049, 0)","(32, 32)",9.1564896415941e-15,-1,extra_space_padded,False,"(1, 3)"
9,112,"(17.65255672647362, 44.81741383325898, 0)","(32, 32)",0.4226949817499399,0,extra_space_padded,False,"(1, 3)"
10,122,"(26.366043501560924, 50.71125879851039, 0)","(32, 32)",0.07489832935183362,0,extra_space_padded,False,"(1, 3)"
11,0001,"(20.826517411432675, 33.62074835141825, 0)","(32, 32)",6.7017061473371e-07,-1,extra_space_padded,False,"(1, 4)"
12,0002,"(17.20089267022506, 38.2960518913514, 0)","(32, 32)",8.80934942055462e-15,-1,extra_space_padded,False,"(1, 4)"
13,0011,"(21.359192542917643, 38.084732322512636, 0)","(32, 32)",1.3558735688747843e-09,-1,extra_space_padded,False,"(1, 4)"
14,0012,"(19.03517758703366, 42.6093969174148, 0)","(32, 32)",1.1368878884014868e-07,-1,extra_space_padded,False,"(1, 4)"
15,0021,"(31.634952578150465, 44.05626925246946, 0)","(32, 32)",0.005897637679744502,0,extra_space_padded,False,"(1, 4)"
16,0022,"(17.430757646360284, 49.496016280964454, 0)","(32, 32)",7.891040193551932e-08,-1,extra_space_padded,False,"(1, 4)"
17,0102,"(19.272891102312943, 46.08895452782584, 0)","(32, 32)",1.547572097384197e-08,-1,extra_space_padded,False,"(1, 4)"
18,0111,"(28.739844998768124, 44.99125096169036, 0)","(32, 32)",2.2146943940346955e-07,-1,extra_space_padded,False,"(1, 4)"
19,0112,"(22.37897309148781, 50.342601573973, 0)","(32, 32)",1.6224782972574957e-09,-1,extra_space_padded,False,"(1, 4)"
20,0121,"(20.575154677654307, 50.54452412359431, 0)","(32, 32)",4.1312210529511375e-13,-1,extra_space_padded,False,"(1, 4)"
21,0122,"(21.40237734258741, 53.35503236457415, 0)","(32, 32)",3.1533385450348146e-09,-1,extra_space_padded,False,"(1, 4)"
22,0211,"(19.17501001828973, 50.51151319376036, 0)","(32, 32)",4.8047527407319926e-09,-1,extra_space_padded,False,"(1, 4)"
23,0212,"(16.922986358627885, 54.036934719950786, 0)","(32, 32)",0.016189435706231492,0,extra_space_padded,False,"(1, 4)"
24,0221,"(19.894570529652405, 53.47095865994013, 0)","(32, 32)",8.521457294456437e-07,-1,extra_space_padded,False,"(1, 4)"
25,0222,"(17.62746139567239, 60.227082163570884, 0)","(32, 32)",3.248486626150953e-07,-1,extra_space_padded,False,"(1, 4)"
26,1112,"(17.124391001651347, 56.04955783409786, 0)","(32, 32)",0.27249730966585234,0,extra_space_padded,False,"(1, 4)"
27,1122,"(31.844628922081952, 64.48751846626033, 0)","(32, 32)",5.7130366773797685e-08,-1,extra_space_padded,False,"(1, 4)"
28,1222,"(54.285037917392515, 73.79812742419757, 0)","(32, 32)",0.17887380663747152,0,extra_space_padded,False,"(1, 4)"
29,0_1,"(35.68591922046753, 10.02527133333717, 0)","(32, 32)",6.97537037508511e-14,-1,extra_space_padded,False,"(2, 1)"
30,0_2,"(49.23794066336119, 12.444395460329307, 0)","(32, 32)",3.774990256843823e-11,-1,extra_space_padded,False,"(2, 1)"
31,1_2,"(39.322275119846324, 18.209204123939543, 0)","(32, 32)",0.29431687811601687,0,extra_space_padded,False,"(2, 1)"
32,00_01,"(34.45339786629558, 15.848100596818627, 0)","(32, 32)",4.870304918417134e-08,-1,extra_space_padded,False,"(2, 2)"
33,00_02,"(127.31243662296606, 23.15443072955048, 0)","(32, 32)",0.7504104728840021,0,extra_space_padded,False,"(2, 2)"
